"No.","Time","Source","Destination","Protocol","Length","Info","ACK RTT "
"86","6.659675172","rust-bucket.local","twitch.tv","TCP","74","49990  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2698806361 TSecr=0 WS=128",""
"97","6.856818046","twitch.tv","rust-bucket.local","TCP","74","443  >  49990 [SYN, ACK] Seq=0 Ack=1 Win=28160 Len=0 MSS=1400 SACK_PERM=1 TSval=2078337153 TSecr=2698806361 WS=512","0.197142874"
"98","6.856911445","rust-bucket.local","twitch.tv","TCP","66","49990  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2698806558 TSecr=2078337153","0.000093399"
"99","6.857807005","rust-bucket.local","twitch.tv","TLSv1.2","583","Client Hello",""
"122","7.070792439","twitch.tv","rust-bucket.local","TCP","66","443  >  49990 [ACK] Seq=1 Ack=518 Win=29696 Len=0 TSval=2078337205 TSecr=2698806559","0.212985434"
"123","7.072582284","twitch.tv","rust-bucket.local","TLSv1.2","222","Server Hello, Change Cipher Spec, Finished",""
"124","7.072670707","rust-bucket.local","twitch.tv","TCP","66","49990  >  443 [ACK] Seq=518 Ack=157 Win=64128 Len=0 TSval=2698806774 TSecr=2078337205","0.000088423"
"129","7.083202006","rust-bucket.local","twitch.tv","TLSv1.2","117","Change Cipher Spec, Finished",""
"167","7.347613629","twitch.tv","rust-bucket.local","TCP","66","443  >  49990 [ACK] Seq=157 Ack=569 Win=29696 Len=0 TSval=2078337275 TSecr=2698806785","0.264411623"
"986","17.610014620","rust-bucket.local","twitch.tv","TCP","66","49990  >  443 [FIN, ACK] Seq=569 Ack=157 Win=64128 Len=0 TSval=2698817312 TSecr=2078337275",""
"1040","17.807813405","twitch.tv","rust-bucket.local","TLSv1.2","97","Alert (Level: Warning, Description: Close Notify)","0.197798785"
"1041","17.807841767","rust-bucket.local","twitch.tv","TCP","54","49990  >  443 [RST] Seq=570 Win=0 Len=0",""
"1042","17.807931616","twitch.tv","rust-bucket.local","TCP","66","443  >  49990 [FIN, ACK] Seq=188 Ack=570 Win=29696 Len=0 TSval=2078339890 TSecr=2698817312",""
"1043","17.807953753","rust-bucket.local","twitch.tv","TCP","54","49990  >  443 [RST] Seq=570 Win=0 Len=0",""
